PROPERTY,REP_FIRM,ADVERTISER_NAME,ADVERTISER_GUID,YEAR_NUMBER,MONTH_NUMBER,DEMOGRAPHIC,ORDER_TYPE,CASH_OR_TRADE,AGENCY_NAME,AGENCY_GUID,SALES_OFFICE_NAME,AE_CODE,SALES_PERSON,PARENT_PRODUCT_CODE_NAME,PRODUCT_CODE_NAME,DEV_TYPE,PROGRAM_TYPE,CALENDAR_TYPE,SHARE_OF_ORDER,ORDER_NUMBER,CORE_ADVERTISER_MID,CORE_ADVERTISER_TOP,NET_AMOUNT,GROSS_AMOUNT
KUPB,UNIVISION - AFFILIATE,"T-Mobile USA, Inc.",825038fc-f698-48bd-8744-c65c6b3fcb07,2026,5,Adults 18-49,Time Sale - General,C,"Initiative Media, LLC",a44bf7bc-0153-405b-8a50-a3a55fea2e41,Holding Company - DFW,RCDIA,Crystal Diaz,Telecommunications,Cellular,,,BROADCAST,0,25040788,,,5924.5,6970
KUPB,UNIVISION - AFFILIATE,"T-Mobile USA, Inc.",825038fc-f698-48bd-8744-c65c6b3fcb07,2026,5,Adults 18-49,Time Sale - General,C,"Initiative Media, LLC",a44bf7bc-0153-405b-8a50-a3a55fea2e41,Holding Company - DFW,RCDIA,Crystal Diaz,Telecommunications,Cellular,,,CALENDAR,0,25040788,,,5924.5,6970
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2026,5,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,BROADCAST,0,25040789,,,850,1000
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2026,5,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,CALENDAR,0,25040789,,,850,1000
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2026,8,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,BROADCAST,0,25040789,,,850,1000
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2026,8,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,CALENDAR,0,25040789,,,850,1000
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2027,3,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,BROADCAST,0,25040789,,,510,600
KDCU,UNIVISION - AFFILIATE,"Menards, Inc.",ed4babd0-9431-4bae-95d7-38b63debfaf7,2027,3,Adults 25-54,Time Sale - General,C,"Menards, Inc.",e486b648-5ebb-465b-bf39-519464edefce,MM - National CHI,RTLAL,Terrence Lally,Retail,Home Improvement Stores,,,CALENDAR,0,25040789,,,510,600
KUPB,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,BROADCAST,0,25040790,,,8568,10080
KUPB,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,CALENDAR,0,25040790,,,8568,10080
KINT,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Households,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,BROADCAST,0,25040791,,,9566.75,11255
KINT,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Households,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,CALENDAR,0,25040791,,,9566.75,11255
KINT,UNIVISION - AFFILIATE,"Popeyes Louisiana Kitchen, Inc.",7c9999dd-19e4-402a-b788-97c60c665708,2026,4,Adults 25-54,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25040793,,,1689.8,1988
KINT,UNIVISION - AFFILIATE,"Popeyes Louisiana Kitchen, Inc.",7c9999dd-19e4-402a-b788-97c60c665708,2026,4,Adults 25-54,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25040793,,,1689.8,1988
KTFN,UNIVISION - AFFILIATE,"Popeyes Louisiana Kitchen, Inc.",7c9999dd-19e4-402a-b788-97c60c665708,2026,4,Adults 25-54,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25040794,,,112.2,132
KTFN,UNIVISION - AFFILIATE,"Popeyes Louisiana Kitchen, Inc.",7c9999dd-19e4-402a-b788-97c60c665708,2026,4,Adults 25-54,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25040794,,,112.2,132
